,key2,key1,input_id,partition,original_id_x,peditor_x,pyear_x,paddress_x,ppublisher_x,pseries_x,pid_x,partition_x,book_title_full_x,book_title_x,journal_full_x,journal_x,source_type_x,pauthor_x,ptitle_x,original_id_y,peditor_y,pyear_y,paddress_y,ppublisher_y,pseries_y,pid_y,partition_y,book_title_full_y,book_title_y,journal_full_y,journal_y,source_type_y,pauthor_y,ptitle_y
13,journals/ol/XuWDWZLW10,conf/nmr/Gelfond88,138,10,1318,,1988.0,,,,608601,1,International Conference on Computer Aided Design,NMR,,,inproceedings,Michael Gelfond,Autoepistemic Logic and Formalization of Commonsense Reasoning: Preliminary Report.,6975,,2010.0,,,,2376179,4,Messung,,,Optimization Letters,article,X. Xu|Y. Wang|H. Du|P.-J. Wan|F. Zou|X. Li|W. Wu,Approximations for node-weighted Steiner tree in unit disk graphs.
14,journals/csda/CoakleyFS06,journals/csda/Fuertes08,497,10,5044,,2008.0,,,,2322822,2,Messung,,,Computational Statistics & Data Analysis,árticlé,Ana-María Fuertes,Sieve bootstrap t-tests on long-run average parameters.,3495,,2006.0,,,,2322348,2,,nán,,Computational Statistics & Data Analysis,article,Jerry Coakley|Ana-María Fuertes|Ron Smith,Unobserved heterogeneity in panel time series models.
15,conf/ucs/PoupyrevDM07,conf/mwcn/PoupyrevKD02,738,10,3801,,2002.0,,,,599229,3,,MWCN,,,inproceedings,Pavel Poupyrev|A. Kosuga|Peter Davis,Analysis of wireless message broadcast in large ad hoc networks of PDAs.,7222,,2007.0,,,,742654,2,Messung,,,,phdthesis,Pavel Poupyrev|Peter Davis|Hiroyuki Morikawa,A Media Access Protocol for Proactive Discovery in Ubiquitous Wireless Networks.
16,conf/icga/MansourF91,journals/concurrency/SteinF93,785,10,7605,,1993.0,,,,1899327,3,,ICGÁ,International Journal of Manufacturing Technology and Management (IJMTM),Concurrency - Practice and Experience,inprớcéédings,Josef Stein|Geoffrey Charles Fox,Dependence analysis for outer loop parallelization of existing Fortran-77 programs.,7605,,1991.0,,,,363727,4,,ICGÁ,,,phdthesis,Nashat Mansour|Geoffrey Fox,A Hybrid Genetic Algorithm for Task Allocation in Multicomputers.
17,conf/wsc/McGregor02,conf/ms/McGregor03,888,10,8589,,2003.0,,,,596468,2,Messung,,,,inprớcéédings,Ian McGregor,How to Reduce AMHS Control System Costs with Simulation Models.,8589,,2002.0,,,,783233,4,Messung,,,,inprớcéédings,Ian McGregor,Equipment interface: the relationship between simulation and emulation.
18,conf/ewsa/OquendoWMDGGO04,conf/er/GaspardEMD03,907,10,8720,,2003.0,,,,214768,3,Int. Conf. on Application of Concurrency to System Design ,ER (Workshops),,,inproceedings,Sébastien Gaspard|Florida Estrella|Richard McClatchey|Régis Dindeleux,Managing Evolving Business Workflows through the Capture of Descriptive Information.,8720,,2004.0,,,,234520,2,,EWSA,,,inproceedings,Flávio Oquendo|Brian Warboys|Ronald Morrison|Régis Dindeleux|Ferdinando Gallo|Hubert Garavel|Carmen Occhipinti,ArchWare: Architecting Evolvable Software.
19,conf/ciarp/MontoliuCP09,conf/cvpr/LenzCM07,988,10,9442,,2007.0,,,,152679,2,,CVPR,,,phdthesis,Reiner Lenz|Pedro Latorre Carmona|Peter Meer,The Hyperbolic Geometry of Illumination-Induced Chromaticity Changes.,9442,,2009.0,,,,109662,3,,CVPR,,,phdthesis,Raúl Montoliu|Pedro Latorre Carmona|Filiberto Pla,Color Image Registration under Illumination Changes.
20,conf/fecs/SiegfriedCH08,conf/codes/GermainFREPSGW05,752,10,7312,,2005.0,,,,125328,1,Intérnátiớnál Sympớsiúm ớn Symbớlic ánd Álgébráic Cớmpútátiớn,CODES+ISSS,,,inproceedings,Robert S. Germain|Blake G. Fitch|Aleksandr Rayshubskiy|Maria Eleftheriou|Michael Pitman|Frank Suits|Mark Giampapa|T. J. Christopher Ward,Blue matter on blue gene/L: massively parallel computation for biomolecular simulation.,7312,,2008.0,,,,239518,1,ÁI in Médiciné in Éúrớpé,FECS,,,inproceedings,Robert M. Siegfried|David Chays|Katherine Herbert,Will There Ever Be Consensus on CS1?
21,conf/iscas/WangLLY04,conf/iscas/ChiuCLZ04,855,10,6133,,2004.0,,,,495124,2,Messung,,,,árticlé,Y. C. Julian Chiu|Henry Shu-Hung Chung|Ricky Lau|Bin Zhou,The implementation of a transient DC-link boost based digital amplifier for eliminating pulse-dropping distortion.,8336,,2004.0,,,,501716,2,Cớnféréncé ớn Áútớmátéd Dédúctiớn,ISCAS (2),,,inprớcéédings,Shi-Lin Wang|Wing Hong Lau|Shu Hung Leung|H. Yan,A real-time automatic lipreading system.
22,conf/ecoop/NguyenS07,conf/sefm/NguyenS06,971,10,9303,,2006.0,,,,681248,1,Úbiqúitớús Cớmpúting,SEFM,,,inproceedings,Dong Ha Nguyen|Mario Südholt,VPA-Based Aspects: Better Support for AOP over Protocols.,9303,,2007.0,,,,203257,4,,RAM-SE,,,inproceedings,Dong Ha Nguyen|Mario Südholt,Towards correct evolution of components using VPA-based aspects.
23,conf/dis/CarageaZBPH05,journals/mcs/SunKZC03,1,10,22,,2003.0,,,,2324621,1,Messung,,International Transactions on Systems Science and Applications,Mathematics and Computers in Simulation,article,Haiwei Sun|Ning Kang|Jun Zhang|Eric S. Carlson,A fourth-order compact difference scheme on face centered cubic grids with multigrid method for solving 2D convection diffusion equation.,22,,2005.0,,,,184143,2,Int. Conf. E-Commerce,Discovery Science,,,inproceedings,Doina Caragea|Jun Zhang 0002|Jie Bao|Jyotishman Pathak|Vasant Honavar,"Algorithms and Software for Collaborative Discovery from Autonomous, Semantically Heterogeneous, Distributed Information Sources."
24,conf/ipps/BaradaranCCDHLLL03,journals/bioinformatics/LiuLTGGZKL10,177,10,657,,2010.0,,,,1847222,1,,nán,International Journal of Cognitive Informatics and Natural Intelligence (IJCINI),Bioinformatics,árticlé,Bing Liu 0002|Lin Liu|Anna Tsykin|Gregory J. Goodall|Jeffrey E. Green|Min Zhu|Chang-Hee Kim|Jiuyong Li,Identifying functional miRNA-mRNA regulatory modules with correspondence latent dirichlet allocation.,1718,,2003.0,,,,480952,4,Messung,,,,inproceedings,Nastaran Baradaran|Jacqueline Chame|Chun Chen|Pedro C. Diniz|Mary W. Hall|Yoon-Ju Lee|Bing Liu|Robert F. Lucas,ECO: An Empirical-Based Compilation and Optimization System.
25,conf/icarcv/MazidA08,conf/globecom/NguyenN09,342,10,3563,,2009.0,,,,833626,4,Messung,,,,phdthesis,Duy H. N. Nguyen|Ha H. Nguyen,SNR Maximization and Distributed Beamforming in Multiuser Multi-Relay Networks.,3563,,2008.0,,,,871711,4,Messung,,,,phdthesis,Abdul Md. Mazid|A. B. M. Shawkat Ali,Opto-tactile sensor for surface texture pattern identification using support vector machine.
26,conf/swws/HuDPSMM06,journals/cn/ThomopoulosMM99,343,10,3572,,1999.0,,,,1881459,4,Messung,,,Computer Networks,inprớcéédings,Efstratios Thomopoulos|Louise E. Moser|P. M. Melliar-Smith,Analyzing and Measuring the Latency of the Totem Multicast Protocols.,3572,,2006.0,,,,732430,3,,SWWS,,,inprớcéédings,Michael Hu|Zachary Davis|Shreyas Prasad|Michael Schuricht|P. Michael Melliar-Smith|Louise E. Moser,Speech-Enabled Web Services for Mobile Devices.
27,conf/lssc/AshokVHG07,conf/percom/VamanA09,410,10,4222,,2009.0,,,,631622,4,,PérCớm Wớrkshớps,,,inprớcéédings,Dhadesugoor R. Vaman|Ashwin Ashok,An Efficient Distributed Synchronization Method for TD/CDMA based Mobile Ad Hoc Networks.,2896,,2007.0,,,,572376,2,Computers & Chemical Engineering,LSSC,,,inproceedings,Ashwin Ashok|Dragica Vasileska|O. Hartin|Stephen Marshall Goodnick,Monte Carlo Simulation of GaN Diode Including Intercarrier Interactions.
28,journals/jvis/UedaSKII10,journals/ieicet/YamadaKASOYOSHTOIMS08,453,10,4686,,2008.0,,,,2014114,3,,nán,International Journal of Algebra and Computation (IJAC),IEICE Transactions,árticlé,Kenta Yamada|Hiroshi Kitahara|Yoshihiko Asai|Hideo Sakamoto|Norio Okada|Makoto Yasuda|Noriaki Oda|Michio Sakurai|Masayuki Hiroi|Toshiyuki Takewaki|Sadayuki Ohnishi|Manabu Iguchi|Hiroyasu Minda|Mieko Suzuki,Accurate Modeling Method for Cu Interconnect.,4686,,2010.0,,,,2406568,2,,nán,,J. Visualization,árticlé,Yoshiaki Ueda 0001|Yusuke Sakai|Takehiko Kumagai|Toshio Ishii|Manabu Iguchi 0001,A bouncing droplet on an inclined hydrophobic surface.
29,conf/iccvg/KrupinskiM08,conf/iccvg/Mazurek08a,647,10,6405,,2008.0,,,,880741,2,Messung,,,,inproceedings,Przemyslaw Mazurek,Estimation of State-Space Spatial Component for Cuboid Track-Before-Detect Motion Capture Systems.,6405,,2008.0,,,,880740,4,Messung,,,,inproceedings,Robert Krupinski|Przemyslaw Mazurek,Estimation of Eye Blinking Using Biopotentials Measurements for Computer Animation Applications.
30,conf/aaai/HuL04,journals/bioinformatics/LiuLTGGZKL10,817,10,657,,2010.0,,,,1847222,1,,nán,International Journal of Cognitive Informatics and Natural Intelligence (IJCINI),Bioinformatics,árticlé,Bing Liu 0002|Lin Liu|Anna Tsykin|Gregory J. Goodall|Jeffrey E. Green|Min Zhu|Chang-Hee Kim|Jiuyong Li,Identifying functional miRNA-mRNA regulatory modules with correspondence latent dirichlet allocation.,7943,,2004.0,,,,14289,3,Computer Algebra in Scientific Computing,AAAI,,,inproceedings,Minqing Hu|Bing Liu,Mining Opinion Features in Customer Reviews.
31,journals/acs/Lack05,journals/acs/KellyLW93,947,10,9087,,1993.0,,,,1812350,4,,nán,,Applied Categorical Structures,incớlléctiớn,G. M. Kelly|Stephen Lack|Robert F. C. Walters,Coinverters and categories of fractions for categories with structure.,9087,,2005.0,,,,1812374,4,,nán,,Applied Categorical Structures,incớlléctiớn,Stephen Lack,Limits for Lax Morphisms.
32,conf/vr/MauroRHW09,journals/dud/KohntoppF99,960,10,9196,,1999.0,,,,1963467,4,Messung,,,Datenschutz und Datensicherheit,inproceedings,Marit Köhntopp|Dirk Fox,Utopienah.,9196,,2009.0,,,,758174,2,Messung,,,,inproceedings,Alessandro De Mauro|Jörg Raczkowsky|Marc Eric Halatsch|Heinz Wörn,Virtual Reality Training Embedded in Neurosurgical Microscope.
33,journals/isj/Martinsons08,journals/jct/DuchiS05,52,10,472,,2005.0,,,,2104948,2,Messung,,,"J. Comb. Theory, Ser. A",article,Enrica Duchi|Gilles Schaeffer,A combinatorial approach to jumping particles.,472,,2008.0,,,,2069208,2,Messung,,BIT - Computer Science Section,Inf. Syst. J.,article,Maris G. Martinsons,Relationship-based e-commerce: theory and evidence from China.
34,journals/tsmc/TengW04,conf/ausai/LeeK05,88,10,797,,2005.0,,,,69780,2,,nán,,,inprớcéédings,Yeung-hak Lee|Ik-Dong Kim,Curvature Based Range Face Recognition Analysis Using Projection Vector by Subimage.,797,,2004.0,,,,2287407,4,,nán,,"IEEE Transactions on Systems, Man, and Cybernetics, Part B",inprớcéédings,You-Wei Teng|Wen-June Wang,Constructing a user-friendly GA-based fuzzy system directly from numerical data.
35,conf/isnn/WangJJL10,conf/cocoa/Jiang07,2,10,26,,2007.0,,,,827025,3,Lángúágés,COCOA,,,inproceedings,Minghui Jiang,A PTAS for the Weighted 2-Interval Pattern Problem over the Preceding-and-Crossing Model.,26,,2010.0,,,,520944,4,Ártificiál Intélligéncé: Méthớdớlớgy,ISNN (1),,,inproceedings,Xiaohong Wang|Minghui Jiang 0002|Chuntao Jiang|Shengrong Li,Finite-Time Boundedness Analysis of Uncertain CGNNs with Multiple Delays.
36,conf/nldb/ShinH04,conf/lctrts/LeeKJKEKH08,26,10,332,,2008.0,,,,567435,4,Intérnátiớnál Cớnféréncé ớn Cớmpútér Visiớn,LCTÉS,,,inproceedings,Jaejin Lee|Junghyun Kim|Choonki Jang|Seungkyun Kim|Bernhard Egger|Kwangsub Kim|Sangyong Han,FaCSim: a fast and cycle-accurate architecture simulator for embedded systems.,332,,2004.0,,,,607955,1,Intérnátiớnál Cớnféréncé ớn Cớmpútér Visiớn,LCTÉS,,,inproceedings,Kwangcheol Shin|Sang-Yong Han,Improving Information Retrieval in MEDLINE by Modulating MeSH Term Weights.
37,conf/icdcs/LiuLL05,conf/wasa/Liu10,35,10,385,,2010.0,,,,792804,4,Intérnátiớnál Cớnféréncé ớn Wiréléss Cớmmúnicátiớns ánd Mớbilé Cớmpúting,WÁSÁ,,,inprớcéédings,Bin Liu,An Introduction to Bayesian Techniques for Sensor Networks.,385,,2005.0,,,,348103,1,Intérnátiớnál Cớnféréncé ớn Wiréléss Cớmmúnicátiớns ánd Mớbilé Cớmpúting,WÁSÁ,,,inprớcéédings,Bin Liu 0002|Wang-Chien Lee|Dik Lun Lee,Supporting Complex Multi-Dimensional Queries in P2P Systems.
38,conf/colt/Grunwald01,conf/colt/Grunwald08,111,10,1039,,2008.0,,,,128984,4,Information and Knowledge Engineering ,CỚLT/ÉúrớCỚLT,,,inprớcéédings,Peter Grunwald,The Catch-Up Phenomenon in Bayesian Inference.,1039,,2001.0,,,,128492,4,Information and Knowledge Engineering ,CỚLT/ÉúrớCỚLT,,,inprớcéédings,Peter Grünwald,"Strong Entropy Concentration, Game Theory, and Algorithmic Randomness."
39,conf/acl/AnLL03,conf/coling/LeeLL94,201,10,1361,,1994.0,,,,126898,3,Practice and Theory of Automated Timetabling,COLING,,,inproceedings,Wonil Lee|Geunbae Lee|Jong-Hyeok Lee,Table-driven Neural Syntactic Analysis of Spoken Korean.,1953,,2003.0,,,,25445,1,,ACL (Companion),,,inproceedings,Joohui An|Seungwoo Lee|Gary Geunbae Lee,Automatic Acquisition of Named Entity Tagged Corpus from World Wide Web.
40,journals/corr/cs-PL-0405075,conf/tools/MinJYG00,229,10,2290,,2000.0,,,,800763,3,Information Technologies in Environmental Engineering,TOOLS (36),,,inproceedings,Cai Min|Xie Junqing|Wang Yun|Gu Guanqun,An Implementation Model of IntServ/RSVP Based CORBA A/V Stream Service.,2290,,2004.0,,,,1908007,3,Messung,,International Journal of Wireless Information Networks,CoRR,article,Xiaochu Qi,Reduction Strategies in Lambda Term Normalization and their Effects on Heap Usage
41,journals/ras/ShimKJCKK97,conf/eps/KimS95,602,10,6095,,1995.0,,,,214048,4,,Evolutionary Programming,,,inproceedings,Jong-Hwan Kim|Hyun-Sik Shim,Evolutionary Programming-Based Optimal Robust Locomotion Control of Autonomous Mobile Robots.,6095,,1997.0,,,,2193184,3,Messung,,,Robotics and Autonomous Systems,article,Hyun-Sik Shim|Heung-Soo Kim|Myung-Jin Jung|In-Hwan Choi|Jong-Hwan Kim|Jin-Oh Kim,Designing distributed control architecture for cooperative multi-agent system and its real-time application to soccer robot.
42,conf/nips/LockeryFS89,conf/nips/MakeigJS95,637,10,6342,,1995.0,,,,605470,1,Messung,,,,inproceedings,Scott Makeig|Tzyy-Ping Jung|Terrence J. Sejnowski,Using Feedforward Neural Networks to Monitor Alertness from Changes in EEG Correlation and Coherence.,6342,,1989.0,,,,605541,4,Messung,,,,inproceedings,Shawn R. Lockery|Yan Fang|Terrence J. Sejnowski,Neural Network Analysis of Distributed Representations of Dynamical Sensory-Motor Transormations in the Leech.
43,conf/bildmed/ZerfassMBLKE09,journals/pr/PeterBBP08,965,10,3353,,2008.0,,,,2184224,2,,nán,,Pattern Recognition,article,Zsolt Peter|Valérie Bousson|Catherine Bergot|Françoise Peyrin,A constrained region growing approach based on watershed for the segmentation of low contrast structures in bone micro-CT images.,9233,,2009.0,,,,76417,4,EUROMICRO,Bildverarbeitung für die Medizin,,,inproceedings,Peter Zerfass|Oleg Museyko|Valérie Bousson|Jean Denis Laredo|Willi A. Kalender|Klaus Engelke,Segmentation of the Knee for Analysis of Osteoarthritis.
44,journals/dm/BerensteinK00,journals/cn/AntoniadisCM04,96,10,884,,2004.0,,,,1879073,3,Messung,,,Computer Networks,article,Panayotis Antoniadis|Costas Courcoubetis|Robin Mason,Comparing economic incentives in peer-to-peer networks.,884,,2000.0,,,,1948750,3,Messung,,Journal of Information & Knowledge Management,Discrete Mathematics,article,Arkady Berenstein|Anatol N. Kirillov,"Domino tableaux, Schützenberger involution, and the symmetric group action."
45,journals/taco/ZhangHDKVI04,journals/taslp/GazorZ05,202,10,1955,,2005.0,,,,2303004,3,Messung,,,IEEE Transactions on Speech and Audio Processing,article,Saeed Gazor|Wei Zhang,Speech enhancement employing Laplacian-Gaussian mixture.,932,,2004.0,,,,2225047,2,,nán,,TACO,article,Wei Zhang 0002|Jie S. Hu|Vijay Degalahal|Mahmut T. Kandemir|Narayanan Vijaykrishnan|Mary Jane Irwin,Reducing instruction cache energy consumption using a compiler-based strategy.
46,conf/cvpr/PageKSPA01,conf/cccg/IslamABS05,514,10,5149,,2005.0,,,,96130,2,Business Information Systems,CCCG,,,inprớcéédings,Rabiul Islam|Nahid Afroz|Subir Bandyopadhyay|Bhabani P. Sinha,Computational Geometry on Optical Multi-Trees (OMULT) Computer System.,5149,,2001.0,,,,151512,3,,CVPR (1),,,inprớcéédings,David L. Page|Andreas Koschan|Yiyong Sun|Joon Ki Paik|Mongi A. Abidi,Robust Crease Detection and Curvature Estimation of Piecewise Smooth Surfaces from Triangle Mesh Approximations Using Normal Voting.
47,conf/ai/FinkJH03,conf/swat/Hershberger90,713,10,7023,,1990.0,,,,732025,2,European Conference on Case-Based Reasoning,SWAT,,,inproceedings,John Hershberger,Upper Envelope Onion Peeling.,1329,,2003.0,,,,36328,4,IÉÉÉ Intérnátiớnál Cớnféréncé ớn Dátá Mining,SWÁT,,,inproceedings,Eugene Fink|Josh Johnson|John Hershberger 0002,Multi-attribute Exchange Market: Theory and Experiments.
48,journals/eor/QiZ01,journals/eor/HuZC04,882,10,8537,,2004.0,,,,2327533,1,Messung,,Journal of Communications,European Journal of Operational Research,article,Michael Y. Hu|G. Peter Zhang|Haiyang Chen,Modeling foreign equity control in Sino-foreign joint ventures with neural networks.,8537,,2001.0,,,,2331326,4,Messung,,Journal of Communications,European Journal of Operational Research,article,Min Qi|Guoqiang Peter Zhang,An investigation of model selection criteria for neural network time series forecasting.
49,journals/cphysics/KrawczykK05,journals/cphysics/KrawczykK04,891,10,8604,,2004.0,,,,2357948,1,Messung,,ACM Journal on Emerging Technologies in Computing Systems,Computer Physics Communications,article,M. J. Krawczyk|K. Kulakowski,High field electrophoresis - computer simulations.,8604,,2005.0,,,,2357885,2,Messung,,ACM Journal on Emerging Technologies in Computing Systems,Computer Physics Communications,article,M. J. Krawczyk|K. Kulakowski,Off-lattice simulation of the solid phase DNA amplification.
50,conf/sigcomm/HolbrookC99,journals/corr/abs-1005-0426,16,10,158,,2010.0,,,,1925423,2,Messung,,International Journal of Wireless Information Networks,CoRR,article,Theodoros K. Dikaliotis|Alexandros G. Dimakis|Tracey Ho,Security in Distributed Storage Systems by Communicating a Logarithmic Number of Bits,158,,1999.0,,,,689826,2,Messung,,,,inproceedings,Hugh W. Holbrook|David R. Cheriton,IP Multicast Channels: EXPRESS Support for Large-scale Single-source Applications.
51,conf/dac/MoussaBJ08,journals/jct/Lu83,212,10,2051,,1983.0,,,,2106543,4,Messung,,,"J. Comb. Theory, Ser. A",árticlé,Jia-Xi Lu,On Large Sets of Disjoint Steiner Triple Systems I.,2051,,2008.0,,,,158708,2,Messung,,,,árticlé,Hazem Moussa|Amer Baghdadi|Michel Jézéquel,Binary de Bruijn on-chip network for a flexible multiprocessor LDPC decoder.
52,journals/jcc/YaoDNHNZZ08,conf/itc/MooreG85,308,10,3184,,1985.0,,,,533958,1,Ibérián Cớnféréncé ớn Páttérn Récớgnitiớn ánd Imágé Ánálysis,ITC,,,inprớcéédings,Tim Moore|Stephen Garner,Auto-Probing on the L200 Functional Tester.,3184,,2008.0,,,,2092991,4,Ibérián Cớnféréncé ớn Páttérn Récớgnitiớn ánd Imágé Ánálysis,ITC,Künstliche Intelligenz,Journal of Computational Chemistry,inprớcéédings,Yu-Hua Yao|Qi Dai|Xu-Ying Nan|Ping-An He|Zuo-Ming Nie|Song-Ping Zhou|Yao-Zhou Zhang,Analysis of similarity/dissimilarity of DNA sequences based on a class of 2D graphical representation.
53,conf/hpdc/KwonHKL04,journals/wi/BrandlBS07,400,10,4130,,2007.0,,,,2296423,1,Messung,,International Journal of Bioinformatics Research and Applications (IJBRA),Wirtschaftsinformatik,article,Reinhard Brandl|Martin Bichler|Michael Ströbel,Cost accounting for shared IT infrastructures.,4130,,2004.0,,,,299326,2,International Conference On Principles Of DIstributed Systems ,HPDC,,,inproceedings,Oh-Kyoung Kwon|Jaegyoon Hahm|Sangwan Kim|Jongsuk Ruth Lee,GRASP: A Grid Resource Allocation System based on OGSA.
54,journals/isci/MendezM09,conf/aaecc/GreferathS99,906,10,8718,,1999.0,,,,19480,4,,nán,,,phdthesis,Marcus Greferath|Stefan E. Schmidt,Linear Codes and Rings of Matrices.,8718,,2009.0,,,,2067549,4,,nán,International Journal of Services Technology and Management (IJSTM),Inf. Sci.,inprớcéédings,Gerardo M. Mendez|María de los Angeles Hernandez M.,Hybrid learning for interval type-2 fuzzy logic systems based on orthogonal least-squares and back-propagation methods.
